mode,w,maxd,mind,rhi,vol,rs,base,add,adds,avg_ret,avg_bh,avg_excess,median_excess,min_excess,hit20,hit0,avg_exp,avg_trades,avg_dd,worst,amd_ret,amd_bh,amd_excess,score
any,3,0.16,0,70,False,any,0.25,0.25,3,0.3070496643383147,6.735986927741385,-6.4289372634030695,-3.2050334672759107,-15.180254538012072,0.0,0.0,0.34274839743589747,35.25,-0.1991189516164223,-0.17065527015246829,0.06847342650632804,2.734703320191721,-2.6662298936853928,-8.076826737944003
any,1,0.16,0,70,False,any,0.25,0.25,3,0.3070496643383147,6.735986927741385,-6.4289372634030695,-3.2050334672759107,-15.180254538012072,0.0,0.0,0.34274839743589747,35.25,-0.1991189516164223,-0.17065527015246829,0.06847342650632804,2.734703320191721,-2.6662298936853928,-8.076826737944003
prev_or_high,3,0.16,0,70,False,any,0.5,0.25,2,0.28800912742246143,6.735986927741385,-6.447977800318924,-3.1665559687966987,-15.136313098372229,0.0,0.0,0.32371794871794873,34.25,-0.20575957011077234,-0.16754706280286433,-0.025104492715034676,2.734703320191721,-2.7598078129067556,-8.081187817889788
prev_or_high,3,0.16,0,70,False,any,1.0,0.0,0,0.2939418165870705,6.735986927741385,-6.442045111154314,-3.1837526883707223,-15.045765847679293,0.0,0.0,0.32371794871794873,34.25,-0.2145745781881916,-0.16124390175272346,0.012109076498175053,2.734703320191721,-2.7225942436935457,-8.087379491743159
any,3,0.12,0,70,False,any,0.25,0.25,3,0.3033921943976946,6.735986927741385,-6.43259473334369,-3.2196633470383915,-15.180254538012072,0.0,0.0,0.342548076923077,35.25,-0.2009654121322833,-0.17065527015246829,0.06847342650632804,2.734703320191721,-2.6662298936853928,-8.08855776402349
ema_or_high,3,0.16,0,70,False,any,0.25,0.25,3,0.29714181195355094,6.735986927741385,-6.438845115787834,-3.2061475605251104,-15.180254538012072,0.0,0.0,0.3415464743589744,35.125,-0.20616270776281093,-0.17065527015246829,0.06847342650632804,2.734703320191721,-2.6662298936853928,-8.090229331719616
prev_or_high,3,0.16,0,70,False,any,0.25,0.25,3,0.29116186739893624,6.735986927741385,-6.444825060342449,-3.203239227150536,-15.17106737205292,0.0,0.0,0.32371794871794873,34.25,-0.19168608168220314,-0.17065527015246817,-0.03328170313735146,2.734703320191721,-2.7679850233290724,-8.090747311718804
any,3,0.2,0,75,True,any,0.25,0.25,3,0.303810680975642,6.735986927741385,-6.432176246765742,-3.28879630127447,-15.121448523558202,0.0,0.0,0.3239182692307692,32.5,-0.18695644851817728,-0.14347176197249217,0.22001556746839812,2.734703320191721,-2.5146877527233227,-8.118965149887172
any,3,0.2,0,75,True,any,0.33,0.33,2,0.2890462286938097,6.735986927741385,-6.446940699047576,-3.2691837869215976,-15.229516830885647,0.0,0.0,0.32411858974358976,32.5,-0.19538561424323156,-0.13870510425820026,0.2392118326026682,2.734703320191721,-2.4954914875890526,-8.127274979231307
any,3,0.2,0,75,True,any,0.5,0.25,2,0.27082420324689077,6.735986927741385,-6.465162724494494,-3.274085569425754,-15.241151277620185,0.0,0.0,0.3245192307692308,32.5,-0.21044530731107955,-0.15387793279515813,0.14304204795621422,2.734703320191721,-2.5916612722355064,-8.153931709054879
any,3,0.2,0,75,True,any,1.0,0.0,0,0.24042434189606138,6.735986927741385,-6.495562585845324,-3.278770478573877,-15.288183156145136,0.0,0.0,0.32411858974358976,32.625,-0.22171409549623589,-0.12181455562463021,0.046106719085240444,2.734703320191721,-2.6885966011064806,-8.191221604356397
